"astro-ph/0610425","David Merritt","David Merritt, Stefan Harfst, Gianfranco Bertone","Collisionally Regenerated Dark Matter Structures in Galactic Nuclei","11 pages, uses revtex4","Phys.Rev. D75 (2007) 043517","10.1103/PhysRevD.75.043517",,"astro-ph hep-ph",,"  We show that the presence of a rho~1/r^{3/2} dark matter overdensity can be
robustly predicted at the center of any galaxy old enough to have grown a
power-law density cusp in the stars via the Bahcall-Wolf mechanism. Using both
Fokker-Planck and direct N-body integrations, we demonstrate collisional
generation of these dark matter ""crests"" (Collisionally REgenerated
STtructures) even in the extreme case that the density of both stars and dark
matter were previously lowered by slingshot ejection from a binary supermassive
black hole. The time scale for collisional growth of the crest is approximately
the two-body relaxation time as defined by the stars, which is < 10 Gyr at the
centers of stellar spheroids with luminosities comparable to that of the Milky
Way bulge or less. The presence of crests can robustly be predicted in such
galaxies, unlike the steeper enhancements, called ""spikes,"" produced by the
adiabatic growth of black holes. We discuss special cases where the prospects
for detecting dark matter annihilations from the centers of galaxy haloes are
significantly affected by the formation of crests.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 15:07:36 GMT""}]","2009-11-11"
"cond-mat/0610403","Julian Brown","J.S.Brown","RDDI phase in hydrogenated metals - some clarifications",,,,,"cond-mat.mtrl-sci",,"  We present further evidence for the coherent RDDI phase postulated in our
earlier paper and clarify the reasons why the intersite tunnelling amplitude is
increased by many orders of magnitude when a mesoscopic domain undergoes such a
transition.
","[{""version"":""v1"",""created"":""Sun, 15 Oct 2006 18:31:05 GMT""}]","2007-05-23"
"cond-mat/0610404","Frank Grosse","Frank Grosse and Roland Zimmermann","Electron-Phonon Interaction in Embedded Semiconductor Nanostructures",,,"10.1103/PhysRevB.75.235320",,"cond-mat.mtrl-sci",,"  The modification of acoustic phonons in semiconductor nanostructures embedded
in a host crystal is investigated including corrections due to strain within
continuum elasticity theory. Effective elastic constants are calculated
employing {\em ab initio} density functional theory. For a spherical InAs
quantum dot embedded in GaAs barrier material, the electron-phonon coupling is
calculated. Its strength is shown to be suppressed compared to the assumption
of bulk phonons.
","[{""version"":""v1"",""created"":""Sun, 15 Oct 2006 19:55:02 GMT""}]","2009-11-11"
"cond-mat/0610405","Stefan C. Badescu","S. C. Badescu and T. L. Reinecke","Mixing of two-electron spin states in a semiconductor quantum dot",,,"10.1103/PhysRevB.75.041309",,"cond-mat.other",,"  We show that the low lying spin states of two electrons in a semiconductor
quantum dot can be strongly mixed by electron-electron asymmetric exchange.
This mixing is generated by the coupling of electron spin to its orbital motion
and to the relative orbital motion of the two electrons. The asymmetric
exchange can be as large as 50% of the isotropic exchange, even for cylindrical
quantum dots. The resulting spin mixing contributes to understanding spin
dynamics in quantum dots, including light polarization reversal.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 15:04:25 GMT""}]","2009-11-11"
"cond-mat/0610406","Horacio Wagner Leite Alves","C. C. Silva, H. W. Leite Alves (DCNAT-Ufsj) and L. M. R. Scolfaro
  (IF-Usp)","Frequency Dependence of the Dielectric Constants and of the Reflectivity
  for HfO2 and ZrO2 from First-Principles Calculations","2 pages, 4 figures, accepted for publication in the Proceedings of
  the 28th International Conference on the Physics of Semiconductors",,"10.1063/1.2729892",,"cond-mat.mtrl-sci",,"  We present, in this work, our theoretical results for the phonon dispersions
and the frequency dependence of the reflectivities and the dielectric constants
of ZrO2 and HfO2 in the monoclinic phase. The results show the importance of
the lattice contribution for the evaluation of the static dielectric constant.
Also, besides the anisotropy shown by these materials along the x and z
directions, the zero frequency static dielectric constant decreases with the
increasing pressure.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 03:28:32 GMT""}]","2009-11-11"
"cond-mat/0610407","Paul M. Goldbart","Xiaoming Mao (1), Paul M. Goldbart (1), Xiangjun Xing (2), Annette
  Zippelius (3) ((1) University of Illinois at Urbana-Champaign, (2) Syracuse
  University, (3) Universitaet Goettingen)","Elastic heterogeneity of soft random solids","5 pages","Europhysics Letters 80, 26004 (2007)","10.1209/0295-5075/80/26004",,"cond-mat.dis-nn cond-mat.soft",,"  Spatial heterogeneity in the elastic properties of soft random solids is
investigated via a two-pronged approach. First, a nonlocal phenomenological
model for the elastic free energy is examined. This features a quenched random
kernel, which induces randomness in the residual stress and Lame coefficients.
Second, a semi-microscopic model network is explored using replica statistical
mechanics. The Goldstone fluctuations of the semi-microscopic model are shown
to reproduce the phenomenological model, and via this correspondence the
statistical properties of the residual stress and Lame coefficients are
inferred. Correlations involving the residual stress are found to be
long-ranged and governed by a universal parameter that also gives the mean
shear modulus.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 05:17:51 GMT""}]","2011-12-06"
"cond-mat/0610408","Herve Courtois","Julien Senzier (CRTBT), Pengshun S. Luo (CRTBT), Herv\'e Courtois
  (CRTBT)","Combined scanning force microscopy and scanning tunneling spectroscopy
  of an electronic nano-circuit at very low temperature","4 pages","Applied Physics Letters 90 (22/01/2007) 043114","10.1063/1.2436651",,"cond-mat.supr-con",,"  We demonstrate the combination of scanning force microscopy and scanning
tunneling spectroscopy in a local probe microscope operating at very low
temperature (60 mK). This local probe uses a quartz tuning fork ensuring high
tunnel junction stability. We performed the spatially-resolved spectroscopic
study of a superconducting nano-circuit patterned on an insulating substrate.
Significant deviations from the BCS prediction are observed.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 06:36:16 GMT""},{""version"":""v2"",""created"":""Wed, 28 Mar 2007 07:21:35 GMT""}]","2016-08-16"
"cond-mat/0610409","Michael Bortz","Michael Bortz","Low-temperature asymptotics of integrable systems in an external field","17 pages, 2 figures",,"10.1088/1751-8113/40/1/001",,"cond-mat.stat-mech",,"  An asymptotic low-temperature expansion is performed for an integrable
bosonic lattice model and for the critical spin-1/2 Heisenberg chain in a
magnetic field. The results apply to the integrable Bose gas as well. We also
comment on a high-temperature expansion of the bosonic lattice model.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 07:11:50 GMT""}]","2009-11-11"
"cond-mat/0610410","Pierre-Henri Chavanis","Pierre-Henri Chavanis and Clement Sire","Logotropic distributions",,"Physica A, 375, 140 (2007)","10.1016/j.physa.2006.08.076",,"cond-mat.stat-mech",,"  In all spatial dimensions $d$, we study the static and dynamical properties
of a generalized Smoluchowski equation which describes the evolution of a gas
obeying a logotropic equation of state, $p=A\ln\rho$. A logotrope can be viewed
as a limiting form of polytrope ($p=K\rho^{\gamma}$, $\gamma=1+1/n$), with
index $\gamma=0$ or $n=-1$. In the language of generalized thermodynamics, it
corresponds to a Tsallis distribution with index $q=0$. We solve the dynamical
logotropic Smoluchowski equation in the presence of a fixed external force
deriving from a quadratic potential, and for a gas of particles subjected to
their mutual gravitational force. In the latter case, the collapse dynamics is
studied for any negative index $n$, and the density scaling function is found
to decay as $r^{-\alpha}$, with $\alpha=\frac{2n}{n-1}$ for $n<-\frac{d}{2}$,
and $\alpha=\frac{2d}{d+2}$ for $-\frac{d}{2}\leq n<0$.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 08:33:20 GMT""}]","2009-11-11"
"cond-mat/0610411","Patricio Leboeuf","A. Comtet, P. Leboeuf, Satya N. Majumdar","Level Density of a Bose Gas and Extreme Value Statistics","4 pages, no figures","Phys. Rev. Lett. 98, 070404 (2007)","10.1103/PhysRevLett.98.070404",,"cond-mat.stat-mech",,"  We establish a connection between the level density of a gas of
non-interacting bosons and the theory of extreme value statistics. Depending on
the exponent that characterizes the growth of the underlying single-particle
spectrum, we show that at a given excitation energy the limiting distribution
function for the number of excited particles follows the three universal
distribution laws of extreme value statistics, namely Gumbel, Weibull and
Fr\'echet. Implications of this result, as well as general properties of the
level density at different energies, are discussed.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 08:34:03 GMT""}]","2009-11-11"
"cond-mat/0610412","Lars Melwyn Jensen","L. M. Jensen, H. M\""akel\""a and C. J. Pethick","Bose-Einstein condensation temperature of a gas of weakly dissociated
  diatomic molecules","4 pages","Phys. Rev. A 75, 033606 (2007)","10.1103/PhysRevA.75.033606","NORDITA-2006-35","cond-mat.other cond-mat.supr-con",,"  We consider the properties of a gas of bosonic diatomic molecules in the
limit when few of the molecules are dissociated. Taking into account the
effects of dissociation and scattering among molecules and atoms, we calculate
the dispersion relation for a molecule, and the thermal depletion of the
condensate. We calculate the dependence of the Bose-Einstein condensation
temperature of a uniform gas on the atom-atom scattering length, and conclude
that, for a broad Feshbach resonance, the condensation temperature increases as
the molecular state becomes less strongly bound, thereby giving rise to a
maximum in the transition temperature in the BEC-BCS crossover. We also argue
on general grounds that, for a gas in a harmonic trap and for a narrow Feshbach
resonance, the condensation temperature will decrease with increasing
scattering length.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 08:51:38 GMT""}]","2015-06-25"
"cond-mat/0610413","Ferdinand Evers","F. Evers and K. Burke","Pride, Prejudice, and Penury of {\it ab initio} transport calculations
  for single molecules","Chapter contributed to the CRC Handbook on Molecular and
  Nanoelectronics, ed. S. Lyshevski",,,,"cond-mat.mes-hall cond-mat.mtrl-sci",,"  Recent progress in measuring the transport properties of individual molecules
has triggered a substantial demand for {\it ab initio} transport calculations.
Even though program packages are commercially available and placed on custom
tailored to address this task, reliable information often is difficult and very
time consuming to attain in the vast majority of cases, namely when the
molecular conductance is much smaller than $e^2/h$. The article recapitulates
procedures for molecular transport calculations from the point of view of
time-dependent density functional theory. Emphasis is describing the
foundations of the ``standard method''. Pitfalls will be uncovered and the
domain of applicability discussed.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 08:56:07 GMT""}]","2007-05-23"
"cond-mat/0610414","Wim Vassen","W. Vassen, T. Jeltes, J.M. McNamara and A.S. Tychkov","Production of a degenerate Fermi gas of metastable helium-3 atoms","18 pages, 11 figures; to be published in the Proceedings of the
  International school of physics ""Enrico Ferm"": Ultracold Fermi gases,
  Varenna, June 20-30 (2006)",,,,"cond-mat.other",,"  We give an overview of the experiments at the Laser Centre of the Vrije
Universiteit in Amsterdam on ultracold gases of metastable helium-4 and
helium-3 as well as mixtures of both isotopes. We describe our experimental
setup and discuss our experiments on Bose-Einstein condensation of 4He* (more
than 10 million atoms in a BEC) and sympathetic cooling of 3He* towards Fermi
degeneracy (more than 1 million atoms below the Fermi temperature as well as
realization of a degenerate boson-fermion mixture). We also present our results
on Penning Ionization in ~1 mK clouds containing a single isotope (homonuclear
losses) or a mixture of both isotopes (heteronuclear losses).
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 09:00:15 GMT""}]","2007-05-23"
"cond-mat/0610415","Baruch Meerson","Michael Assaf and Baruch Meerson","Spectral theory of metastability and extinction in birth-death systems","4 pages, 3 figures",,"10.1103/PhysRevLett.97.200602",,"cond-mat.stat-mech physics.chem-ph physics.data-an q-bio.PE",,"  We suggest a general spectral method for calculating statistics of multi-step
birth-death processes and chemical reactions of the type mA->nA (m and n are
positive integers) which possess an absorbing state. The method yields accurate
results for the extinction statistics, and for the quasi-stationary probability
distribution, including large deviations, of the metastable state. The power of
the method is demonstrated on the example of binary annihilation and triple
branching 2A->0 and A->3A, representative of the rather general class of
dissociation-recombination reactions.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 09:27:24 GMT""},{""version"":""v2"",""created"":""Tue, 24 Oct 2006 10:39:32 GMT""}]","2009-11-11"
"cond-mat/0610416","M\'elin R\'egis","S. Duhot and R. M\'elin","Nonlocal transport mediated by nonlocal Hikami boxes: Condensation of
  evanescent quasiparticles injected into the superconducting gap","8 pages, 8 figures, long version","Phys. Rev. B 75, 184531 (2007)","10.1103/PhysRevB.75.184531",,"cond-mat.mes-hall cond-mat.supr-con",,"  Evanescent quasiparticles entering a superconductor and propagating over
distances larger than the coherence length give rise to intermediate states
induced by double Andreev scattering on disorder.The resulting effective
attractive interaction between evanescent quasiparticles is retarded at the
extremely slow frequency of the applied bias voltage. The non-BCS
out-of-equilibrium mesoscopic condensate is compatible with a recent experiment
[S. Russo et al., Phys. Rev. Lett. 95, 027002 (2005)]. Microscopic theory is
discussed in the random phase approximation.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 09:29:18 GMT""},{""version"":""v2"",""created"":""Mon, 8 Jan 2007 12:47:22 GMT""},{""version"":""v3"",""created"":""Tue, 27 Mar 2007 07:25:14 GMT""},{""version"":""v4"",""created"":""Tue, 29 May 2007 14:42:50 GMT""}]","2007-06-13"
"cond-mat/0610417","Rembert Duine","R.A.Duine, P.M. Haney, A.S. Nunez, A.H. MacDonald","Inelastic scattering in ferromagnetic and antiferromagnetic metal
  spintronics","10 pages, 7 figures",,"10.1103/PhysRevB.75.014433","ITP-UU-06/44","cond-mat.mes-hall",,"  We use a ferromagnetic voltage probe model to study the influence of
inelastic scattering on giant magnetoresistance and current-induced torques in
ferromagnetic and antiferromagnetic metal spin valves. The model is based on
the Green's function formulation of transport theory and represents
spin-dependent and spin-independent inelastic scatterers by interior voltage
probes that are constrained to carry respectively no charge current and no spin
or charge current. We find that giant magnetoresistance and spin transfer
torques in ferromagnetic metal spin valve structures survive arbitrarily strong
spin-independent inelastic scattering, while the recently predicted analogous
phenomena in antiferromagnetic metal spin valves are partially suppressed. We
use toy-model numerical calculations to estimate spacer layer thickness
requirements for room temperature operation of antiferromagnetic metal spin
valves.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 09:29:23 GMT""}]","2009-11-11"
"cond-mat/0610418","Juan J. Alonso","J.J.Alonso (1), J.F.Fernandez (2) ((1) Universidad de Malaga, Spain,
  (2) CSIC and Universidad de Zaragoza, Spain)","Theoretical simulation of the anisotropic phases of antiferromagnetic
  thin films","10 LaTeX pages, 13 eps figures. Submitted to PRB on 30 June 2006.
  Accepted on 10 October 2006",,"10.1103/PhysRevB.74.184416",,"cond-mat.stat-mech",,"  We simulate antiferromagnetic thin films. Dipole-dipole and antiferromagnetic
exchange interactions as well as uniaxial and quadrupolar anisotropies are
taken into account. Various phases unfold as the corresponding parameters, J, D
and C, as well as the temperature T and the number n of film layers vary. We
find (1) how the strength Delta_m of the anisotropy arising from dipole-dipole
interactions varies with the number of layers m away from the film's surface,
with J and with n; (2) a unified phase diagram for all n-layer films and bulk
systems; (3) a layer dependent spin reorientation (SR) phase in which spins
rotate continuously as T, D, C and n vary; (4) that the ratio of the SR to the
ordering temperature depends (approximately) on n only through (D+Delta/n)/C,
and hardly on J; (5) a phase transformation between two different magnetic
orderings, in which spin orientations may or may not change, for some values of
J, by varying n.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 10:14:52 GMT""}]","2009-11-11"
"cond-mat/0610419","Limot Laurent","N. Neel, J. Kroeger, L. Limot, K. Palotas, W. A. Hofer, and R. Berndt","Conductance and Kondo effect of a controlled single atom contact","4 pages, 3 figures",,,,"cond-mat.str-el",,"  The tip of a low-temperature scanning tunneling microscope is brought into
contact with individual Kondo impurities (cobalt atoms) adsorbed on a Cu(100)
surface. A smooth transition from the tunneling regime to a point contact with
a conductance of $G\approx\text{G}_0$ occurs. Spectroscopy in the contact
regime, {\it i. e.}, at currents in a $\mu\text{A}$ range was achieved. A
modified line shape is observed indicating a significant change of the Kondo
temperature $T_{\text{K}}$ at contact. Model calculations indicate that the
proximity of the tip shifts the cobalt $d$-band and thus affects
$T_{\text{K}}$.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 10:12:12 GMT""}]","2007-05-23"
"cond-mat/0610420","Sergey Nazarenko","Sergey Nazarenko","Kelvin-wave turbulence generated by vortex reconnections","To be submitted to JETP Letters",,"10.1134/S0021364006230032",,"cond-mat.other cond-mat.stat-mech",,"  Reconnections of quantum vortex filaments create sharp bends which degenerate
into propagating Kelvin waves. These waves cascade their energy down-scale and
their waveaction up-scale via weakly nonlinear interactions, and this is the
main mechanism of turbulence at the scales less than the inter-vortex distance.
In case of an idealised forcing concentrated around a single scale k0, the
turbulence spectrum exponent has a pure direct cascade form -17/5 at scales
k>k0 and a pure inverse cascade form -3 at k<k0. However, forcing produced by
the reconnections contains a broad range of Fourier modes. What scaling should
one expect in this case? In this Letter I obtain an answer to this question
using the differential model for the Kelvin wave turbulence. The main result is
that the direct cascade scaling dominates, i.e. the reconnection forcing is
more or less equivalent to a low-frequency forcing.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 11:50:34 GMT""}]","2015-06-25"
"cond-mat/0610421","Kohei Noda","K. Noda, M. Akaki, F. Nakamura, D. Akahoshi, and H. Kuwahara","Internal magnetic field effect on magnetoelectricity in orthorhombic
  $RMnO_3$ crystals","2 pages, 1 figure, the proceeding of International Conference of
  Magnetism, to be published in the Journal of Magnetism and Magnetic Materials","Journal of Magnetism and Magnetic Materials, Volume 310, Issue 2,
  Part 2, March 2007, Pages 1162-1164","10.1016/j.jmmm.2006.10.337",,"cond-mat.str-el",,"  We have investigated the role of the 4$f$ moment on the magnetoelectric (ME)
effect of orthorhombic $R$MnO$_{3}$ ($R$=rare earth ions). In order to clarify
the role of the 4$f$ moment, we prepared three samples: (Eu,Y)MnO$_{3}$ without
the 4$f$ moment, TbMnO$_{3}$ with the anisotropic 4$f$ moment, and
(Gd,Y)MnO$_{3}$ with the isotropic 4$f$ moment. The ferroelectric behaviors of
these samples are different from each other in a zero magnetic field.
(Eu,Y)MnO$_{3}$ and (Gd,Y)MnO$_{3}$ show the ferroelectric polarization along
the a axis in the ground state, while TbMnO$_{3}$ shows it along the c axis.
Such difference may arise from the influence of the anisotropic Tb$^{3+}$ 4$f$
moment. The direction of the ferroelectric polarization of $R$MnO$_{3}$ is
determined by the internal magnetic field arising from the 4$f$ moment.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 11:59:23 GMT""}]","2007-05-23"
"cond-mat/0610422","Kohei Noda","K. Noda, M. Akaki, F. Nakamura, D. Akahoshi, and H. Kuwahara","Control of the ferroelectricity in metastable state for orthorhombic
  $R$MnO$_{3}$ crystals","6 pages, 3 figures, proceeding of Highly Frustrated Magnetism 2006,to
  be published in the Journal of Physics: Condensed Matter","J. Phys.: Condens. Matter 19 (2007) 145279","10.1088/0953-8984/19/14/145279",,"cond-mat.str-el",,"  We have investigated orthorhombic $R$MnO$_{3}$ ($R$=(Gd$_{1-y}$Tb$_{y}$))
crystals near the phase boundary between the paraelectric
$A$-type-antiferromagnetic (AF) phase (PA) and the ferroelectric
transverse-spiral-AF one (FS). The spiral AF structure breaks inversion
symmetry and induces the ferroelectric polarization through the inverse
Dzyaloshinskii-Moriya (DM) interaction. We have found that the PA-FS phase
boundary is located at around 0.15$<$$y$$<$0.2. In $y$=0.15 compound, PA and FS
phases appear in cooling scan, while FS is not observed in warming scan. This
result suggests that FS observed in $y$=0.15 is a metastable state arising from
the competition between PA and FS. Furthermore, we demonstrate the phase
control between these competing phases by the application of the external
magnetic field and external quasihydrostatic pressure.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 12:13:34 GMT""}]","2015-06-25"
"cond-mat/0610423","Anatolii Mal'shukov","A.G. Mal'shukov, L.Y. Wang, C.S. Chu","Spin-Hall interface resistance in terms of Landauer type spin dipoles","7 pages",,"10.1103/PhysRevB.75.085315",,"cond-mat.mes-hall",,"  We considered the nonequlibrium spin dipoles induced around spin independent
elastic scatterers by the intrinsic spin-Hall effect associated with the Rashba
spin-orbit coupling. The normal to 2DEG spin polarization has been calculated
in the diffusion range around the scatterer. We found that although around each
impurity this polarization is finite, the corresponding macroscopic spin
density, obtained via averaging of individual spin dipole distributions over
impurity positions is zero in the bulk. At the same time, the spin density is
finite near the boundary of 2DEG, except for a special case of a hard wall
boundary. The boundary value of the spin polarization can be associated with
the interface spin-Hall resistance determining the additional energy
dissipation due to spin accumulation.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 12:24:24 GMT""},{""version"":""v2"",""created"":""Tue, 7 Nov 2006 10:11:22 GMT""}]","2015-06-25"
"cond-mat/0610424","Laurent Lombez","L. Lombez, P. Renucci, P. Gallo, P. F. Braun, H. Carrere, P. H. Binh,
  X. Marie, T. Amand, B. Urbaszek, J. L. Gauffier, T. Camps, A. Arnoult, C.
  Fontaine, C. Deranlot, R. Mattana, H. Jaffres and J. M. George","Electrical spin injection into p-doped quantum dots through a tunnel
  barrier","6 pages, 4 figures","Appl. Phys. Lett., 87, 252115 (2005)","10.1063/1.2709889",,"cond-mat.other",,"  We have demonstrated by electroluminescence the injection of spin polarized
electrons through Co/Al2O3/GaAs tunnel barrier into p-doped InAs/GaAs quantum
dots embedded in a PIN GaAs light emitting diode. The spin relaxation processes
in the p-doped quantum dots are characterized independently by optical
measurements (time and polarization resolved photoluminescence). The measured
electroluminescence circular polarization is about 15 % at low temperature in a
2T magnetic field, leading to an estimation of the electrical spin injection
yield of 35%. Moreover, this electroluminescence circular polarization is
stable up to 70 K.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 12:42:51 GMT""},{""version"":""v2"",""created"":""Mon, 8 Jan 2007 10:16:11 GMT""}]","2009-11-11"
"cond-mat/0610425","Robert Seguin","R. Seguin, S. Rodt, A. Strittmatter, L. Rei{\ss}mann, T. Bartel, A.
  Hoffmann, and D. Bimberg","Multi-excitonic complexes in single InGaN quantum dots","3 pages, 4 figures","Appl. Phys. Lett. 84, 4023 (2004)","10.1063/1.1751214",,"cond-mat.mtrl-sci",,"  Cathodoluminescence spectra employing a shadow mask technique of InGaN layers
grown by metal organic chemical vapor deposition on Si(111) substrates are
reported. Sharp lines originating from InGaN quantum dots are observed.
Temperature dependent measurements reveal thermally induced carrier
redistribution between the quantum dots. Spectral diffusion is observed and was
used as a tool to correlate up to three lines that originate from the same
quantum dot. Variation of excitation density leads to identification of exciton
and biexciton. Binding and anti-binding complexes are discovered.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 12:56:11 GMT""}]","2007-05-23"
"cond-mat/0610426","Bernd Rosenow","Bernd Rosenow, Andreas Glatz, and Thomas Nattermann","Frequency-Temperature Crossover in the Conductivity of Disordered
  Luttinger Liquids","4 pages, 4 figures","Phys. Rev. B 76, 155108 (2007)","10.1103/PhysRevB.76.155108",,"cond-mat.mes-hall cond-mat.str-el",,"  The temperature ($T$) and frequency ($\omega$) dependent conductivity of
weakly disordered Luttinger liquids is calculated in a systematic way both by
perturbation theory and from a finite temperature renormalization group (RG)
treatment to leading order in the disorder strength. Whereas perturbation
theory results in $\omega/T$ scaling of the conductivity such scaling is
violated in the RG traetment. We also determine the non-linear field dependence
of the conductivity, whose power law scaling is different from that of
temperature and frequency dependence.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 12:56:51 GMT""}]","2008-06-24"
"cond-mat/0610427","Kenichi Hachitani","Kenichi Hachitani, Hideaki Amanuma, Hideto Fukazawa, Yoh Kohori,
  Keiichi Koyama, Ken-ichi Kumagai, Chihiro Sekine and Ichimin Shirotani","Appearance of Successive Phase Transition in SmRu4P12 under High
  Magnetic Fields Probed by 31P Nuclear Magnetic Resonance","6 pages, 9 figures, to be published in J. Phys. Soc. Jpn. (2006)",,"10.1143/JPSJ.75.124712",,"cond-mat.str-el",,"  The 31P-NMR (nuclear magnetic resonance) measurements of the filled
skutterudite SmRu4P12 have been carried out in several applied magnetic fields.
The line width of the 31P-NMR spectrum rapidly increases below the
metal-insulator transition temperature TMI, which indicates the appearance of
an internal field below the temperature. Though no distinct anomaly was
observed below TMI in low fields, a complicated structure was observed between
the Neel temperature TN and TMI (TN < TMI) above 70 kOe. The spin-lattice
relaxation rate 1/T1 is almost independent of temperature above TMI, and
rapidly decreases below TMI. The 1/T1 in low fields decreases monotonously,
whereas the strong suppression of 1/T1 occurs between TN and TMI above 70 kOe.
The structure of the spectra and the suppression of 1/T1 become apparent with
increasing field.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 13:10:41 GMT""}]","2015-06-25"
"cond-mat/0610428","C.M. Roland","CM Roland and R Casalini","Entropy Basis for the Thermodynamic Scaling of the Dynamics of OTP","12 pages 3 figures V Workshop on Non Equilibrium Phenomena in
  Supercooled Fluids, Glasses and Amorphous Materials 17 - 22 September 2006,
  Pisa, Italy",,"10.1088/0953-8984/19/20/205118",,"cond-mat.soft",,"  Structural relaxation times and viscosities for non-associated liquids and
polymers are a unique function of the product of temperature, T, times specific
volume, V, with the latter raised to a constant, g_tau. Similarly, for both
neat o-terphenyl (OTP) and a mixture the entropy for different T and pressures,
P, collapse to a single curve when expressed versus TV^g_s, with the scaling
exponent for the entropy, g_s, essentially equal to the thermodynamic Gruneisen
parameter. Since the entropy includes contributions from motions, such as
vibrations and secondary relaxations, which do not affect structural
relaxation, g_s < g_tau. We show herein that removal of these contributions
gives a satisfactory accounting for the magnitude of g_tau. Moreover, the
relaxation times of OTP are found to be uniquely defined by the entropy, after
subtraction from the latter of a V-independent component.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 13:12:00 GMT""}]","2015-06-25"
"cond-mat/0610429","Christoph Lemell","Christoph Lemell, Andres Arnau, and Joachim Burgd\""orfer","Determination of Compton profiles at solid surfaces from
  first-principles calculations","13 pages, 5 figures, submitted to PRB",,"10.1103/PhysRevB.75.014303",,"cond-mat.other",,"  Projected momentum distributions of electrons, i.e. Compton profiles above
the topmost atomic layer have recently become experimentally accessible by
kinetic electron emission in grazing-incidence scattering of atoms at
atomically flat single crystal metal surfaces. Sub-threshold emission by slow
projectiles was shown to be sensitive to high-momentum components of the local
Compton profile near the surface. We present a method to extract momentum
distribution, Compton profiles, and Wigner and Husimi phase space distributions
from ab-initio density-functional calculations of electronic structure. An
application for such distributions to scattering experiments is discussed.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 13:21:28 GMT""}]","2009-11-11"
"cond-mat/0610430","Iacopo Carusotto","Iacopo Carusotto, Michiel Wouters, Cristiano Ciuti","Many-body physics of a quantum fluid of exciton-polaritons in a
  semiconductor microcavity","Proceedings of QFS2006 conference to appear on JLTP",,"10.1007/s10909-007-9414-x",,"cond-mat.stat-mech",,"  Some recent results concerning nonlinear optics in semiconductor
microcavities are reviewed from the point of view of the many-body physics of
an interacting photon gas. Analogies with systems of cold atoms at thermal
equilibrium are drawn, and the peculiar behaviours due to the non-equilibrium
regime pointed out. The richness of the predicted behaviours shows the
potentialities of optical systems for the study of the physics of quantum
fluids.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 13:23:55 GMT""}]","2009-11-11"
"cond-mat/0610431","Juan J. Alonso","J.J.Alonso (1), J.F.Fernandez (2), ((1) Universidad de Malaga, Spain,
  (2) CSIC and Universidad de Zaragoza, Spain)","Continuous spin reorientation in antiferromagnetic films","3 LaTeX pages, 3 eps figures. Submitted to JMMM on 25 May 2006.
  Accepted on 21 July 2006",,"10.1016/j.jmmm.2006.10.420",,"cond-mat.stat-mech",,"  We study anisotropic antiferromagnetic one-layer films with dipolar and
nearest-neighbor exchange interactions. We obtain a unified phase diagram as a
function of effective uniaxial D_e and quadrupolar C anisotropy constants. We
study in some detail how spins reorient continuously below a temperature T_s as
T and D_e vary.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 13:48:06 GMT""}]","2015-06-25"
